0	43	44	43	44	37	34	47
0.5	14311	15723	NaN	NaN	NaN	NaN	NaN
1	12352	13595	NaN	NaN	NaN	NaN	NaN
2	8898	10583	14205	21158	15597	15274	11606
3	8335	9107	NaN	NaN	NaN	NaN	NaN
4	7535	8526	NaN	NaN	NaN	NaN	NaN
5	7123	8194	10553	14777	11348	11912	8136
10	5584	7670	8060	10506	7505	8688	6175
15	5081	6823	NaN	NaN	NaN	NaN	NaN
20	NaN	NaN	6393	6770	5133	5233	4984
30	2356	5150	4900	5165	4333	4681	4081
45	NaN	NaN	3861	3807	3444	4241	3218
60	2698	3218	3106	2980	2770	3312	2630
