0	38	38	623	36	34	34	39
0.5	11109	13914	NaN	NaN	NaN	NaN	NaN
1	8228	10047	NaN	NaN	NaN	NaN	NaN
2	5373	6761	6866	11347	6329	6859	3615
3	4170	5679	NaN	NaN	NaN	NaN	NaN
4	3863	4993	NaN	NaN	NaN	NaN	NaN
5	3546	5184	3702	8141	3242	4997	2754
10	2922	4304	2373	5955	2459	4032	2184
15	2918	4061	NaN	NaN	NaN	NaN	NaN
20	NaN	NaN	2369	2521	1354	3090	1817
30	2743	2817	1935	1917	1465	2232	1613
45	NaN	NaN	1935	1856	1449	2175	1271
60	1714	1859	1418	1591	1470	1880	1386
